stage,config,classifier,scenario,n,pos,roc_auc,pr_auc,acc,precision,recall,f1,eer,brier,ece
features,G_shannon_perm,svm,jpeg,1536,792,0.482272,0.491654,0.480469,0.4,0.0151515,0.0291971,0.514968,0.485958,0.476253
features,G_shannon_perm,svm,webp,1536,792,0.458904,0.496555,0.48763,0.777778,0.00883838,0.0174782,0.533887,0.503826,0.501854
features,G_shannon_perm,svm,blur+jpeg,1536,792,0.509227,0.517122,0.484375,0,0,0,0.486335,0.420251,0.410693
features,G_shannon_perm,gbt,clean,1536,792,0.990804,0.991942,0.952474,0.965071,0.941919,0.953355,0.0468801,0.0350445,0.0163017
features,G_shannon_perm,gbt,blur,1536,792,0.672379,0.645657,0.622396,0.628954,0.652778,0.640644,0.37891,0.274626,0.206876
features,G_shannon_perm,gbt,jpeg,1536,792,0.483477,0.492358,0.482422,0.457143,0.020202,0.0386941,0.50782,0.495602,0.484662
features,G_shannon_perm,gbt,webp,1536,792,0.490919,0.514573,0.485677,0.6,0.00757576,0.0149626,0.518878,0.505112,0.504302
features,G_shannon_perm,gbt,blur+jpeg,1536,792,0.487728,0.514175,0.485026,1,0.00126263,0.00252207,0.503238,0.506927,0.506153
features,H_all,logreg,clean,1536,792,0.994098,0.992656,0.98112,0.985987,0.977273,0.981611,0.0188783,0.0152418,0.00955884
features,H_all,logreg,blur,1536,792,0.613976,0.593062,0.513021,0.623596,0.140152,0.228866,0.411453,0.442715,0.433217
features,H_all,logreg,jpeg,1536,792,0.468131,0.479513,0.46875,0.333333,0.030303,0.0555556,0.516231,0.500363,0.491259
features,H_all,logreg,webp,1536,792,0.487338,0.505292,0.486328,0.6,0.0113636,0.0223048,0.516272,0.510615,0.511377
features,H_all,logreg,blur+jpeg,1536,792,0.435672,0.468169,0.483724,0.333333,0.00126263,0.00251572,0.544945,0.51571,0.516115
features,H_all,rf,clean,1536,792,0.97901,0.980637,0.923177,0.943421,0.905303,0.923969,0.078792,0.0761229,0.123746
features,H_all,rf,blur,1536,792,0.662393,0.639727,0.615234,0.608884,0.709596,0.655394,0.383533,0.232373,0.0600911
features,H_all,rf,jpeg,1536,792,0.502093,0.503654,0.478516,0.32,0.010101,0.0195838,0.49609,0.388767,0.358325
features,H_all,rf,webp,1536,792,0.502594,0.5243,0.485677,0.666667,0.00505051,0.0100251,0.509673,0.423312,0.409308
