
TRAIN: 360040 sources x 4 variants = 1440160 samples
  categories: 20  sources/category: [18002]
  real sources: 180020   fake sources: 180020
  per category/label, each of clean|blur|jpeg|noise gets exactly 9001 samples
  severity levels (index 0/1/2) over all sources: 120040 / 120000 / 120000
  max level imbalance within any category/label group: 1 sample(s)  [40 groups]

VAL: 8000 sources x 4 variants = 32000 samples
  categories: 20  sources/category: [400]
  real sources: 4000   fake sources: 4000
  per category/label, each of clean|blur|jpeg|noise gets exactly 200 samples
  severity levels (index 0/1/2) over all sources: 2680 / 2680 / 2640
  max level imbalance within any category/label group: 1 sample(s)  [40 groups]
  epoch 12 step 1000  loss=0.1063  (328s)
  epoch 12 step 1200  loss=0.1064  (1687s)
  epoch 12 step 1400  loss=0.1065  (1742s)
  epoch 12 step 1600  loss=0.1064  (1787s)
  epoch 12 step 1800  loss=0.1063  (1837s)
  epoch 12 step 2000  loss=0.1063  (1884s)
  epoch 12 step 2200  loss=0.1063  (1930s)
  epoch 12 step 2400  loss=0.1062  (1975s)
  epoch 12 step 2600  loss=0.1062  (2017s)
  epoch 12 step 2800  loss=0.1062  (2058s)
  epoch 12 step 3000  loss=0.1062  (2098s)
  epoch 12 step 3200  loss=0.1062  (2141s)
  epoch 12 step 3400  loss=0.1062  (2180s)
  epoch 12 step 3600  loss=0.1063  (2216s)
  epoch 12 step 3800  loss=0.1062  (2253s)
  epoch 12 step 4000  loss=0.1062  (2292s)
  epoch 12 step 4200  loss=0.1064  (2327s)
  epoch 12 step 4400  loss=0.1064  (2362s)
  epoch 12 step 4600  loss=0.1063  (2396s)
  epoch 12 step 4800  loss=0.1063  (2428s)
  epoch 12 step 5000  loss=0.1063  (2459s)
  epoch 12 step 5200  loss=0.1063  (2490s)
  epoch 12 step 5400  loss=0.1063  (2519s)
  epoch 12 step 5600  loss=0.1063  (2548s)
  epoch 12 step 5800  loss=0.1063  (2578s)
  epoch 12 step 6000  loss=0.1062  (2605s)
  epoch 12 step 6200  loss=0.1062  (2633s)
  epoch 12 step 6400  loss=0.1062  (2659s)
  epoch 12 step 6600  loss=0.1062  (2689s)
  epoch 12 step 6800  loss=0.1061  (2714s)
  epoch 12 step 7000  loss=0.1061  (2739s)
  epoch 12 step 7200  loss=0.1061  (2762s)
  epoch 12 step 7400  loss=0.1061  (2786s)
  epoch 12 step 7600  loss=0.1060  (2811s)
  epoch 12 step 7800  loss=0.1061  (2833s)
  epoch 12 step 8000  loss=0.1060  (2855s)
  epoch 12 step 8200  loss=0.1060  (2874s)
  epoch 12 step 8400  loss=0.1061  (2895s)
  epoch 12 step 8600  loss=0.1061  (2918s)
  epoch 12 step 8800  loss=0.1061  (2938s)
  epoch 12 step 9000  loss=0.1061  (2959s)
  epoch 12 step 9200  loss=0.1061  (2978s)
  epoch 12 step 9400  loss=0.1061  (2997s)
  epoch 12 step 9600  loss=0.1061  (3017s)
  epoch 12 step 9800  loss=0.1061  (3037s)
  epoch 12 step 10000  loss=0.1062  (3058s)
  epoch 12 step 10200  loss=0.1062  (3078s)
  epoch 12 step 10400  loss=0.1062  (3098s)
  epoch 12 step 10600  loss=0.1061  (3118s)
  epoch 12 step 10800  loss=0.1062  (3138s)
  epoch 12 step 11000  loss=0.1061  (3159s)
  epoch 12 step 11200  loss=0.1061  (3178s)
  epoch 12 step 11400  loss=0.1062  (3197s)
  epoch 12 step 11600  loss=0.1062  (3220s)
  epoch 12 step 11800  loss=0.1062  (3239s)
  epoch 12 step 12000  loss=0.1062  (3258s)
  epoch 12 step 12200  loss=0.1062  (3278s)
  epoch 12 step 12400  loss=0.1062  (3299s)
  epoch 12 step 12600  loss=0.1062  (3320s)
  epoch 12 step 12800  loss=0.1062  (3341s)
  epoch 12 step 13000  loss=0.1062  (3361s)
  epoch 12 step 13200  loss=0.1062  (3391s)
  epoch 12 step 13400  loss=0.1062  (3414s)
  epoch 12 step 13600  loss=0.1062  (3436s)
  epoch 12 step 13800  loss=0.1062  (3456s)
  epoch 12 step 14000  loss=0.1062  (3476s)
  epoch 12 step 14200  loss=0.1062  (3496s)
  epoch 12 step 14400  loss=0.1062  (3517s)
  epoch 12 step 14600  loss=0.1062  (3541s)
  epoch 12 step 14800  loss=0.1062  (3561s)
  epoch 12 step 15000  loss=0.1062  (3582s)
  epoch 12 step 15200  loss=0.1062  (3603s)
  epoch 12 step 15400  loss=0.1062  (3621s)
  epoch 12 step 15600  loss=0.1062  (3641s)
  epoch 12 step 15800  loss=0.1062  (3661s)
  epoch 12 step 16000  loss=0.1062  (3682s)
  epoch 12 step 16200  loss=0.1062  (3703s)
  epoch 12 step 16400  loss=0.1062  (3724s)
  epoch 12 step 16600  loss=0.1062  (3746s)
  epoch 12 step 16800  loss=0.1062  (3767s)
  epoch 12 step 17000  loss=0.1062  (3788s)
  epoch 12 step 17200  loss=0.1062  (3812s)
  epoch 12 step 17400  loss=0.1062  (3836s)
  epoch 12 step 17600  loss=0.1062  (3860s)
  epoch 12 step 17800  loss=0.1062  (3885s)
  epoch 12 step 18000  loss=0.1062  (3908s)
  epoch 12 step 18200  loss=0.1062  (3932s)
  epoch 12 step 18400  loss=0.1062  (3960s)
  epoch 12 step 18600  loss=0.1063  (3984s)
  epoch 12 step 18800  loss=0.1063  (4011s)
  epoch 12 step 19000  loss=0.1063  (4036s)
  epoch 12 step 19200  loss=0.1063  (4060s)
  epoch 12 step 19400  loss=0.1063  (4084s)
  epoch 12 step 19600  loss=0.1063  (4109s)
  epoch 12 step 19800  loss=0.1063  (4132s)
  epoch 12 step 20000  loss=0.1063  (4158s)
  epoch 12 step 20200  loss=0.1062  (4182s)
  epoch 12 step 20400  loss=0.1062  (4205s)
  epoch 12 step 20600  loss=0.1062  (4226s)
  epoch 12 step 20800  loss=0.1062  (4249s)
  epoch 12 step 21000  loss=0.1062  (4272s)
  epoch 12 step 21200  loss=0.1062  (4292s)
  epoch 12 step 21400  loss=0.1062  (4313s)
  epoch 12 step 21600  loss=0.1062  (4334s)
  epoch 12 step 21800  loss=0.1062  (4354s)
  epoch 12 step 22000  loss=0.1062  (4373s)
  epoch 12 step 22200  loss=0.1062  (4391s)
  epoch 12 step 22400  loss=0.1062  (4411s)
[epoch 12] loss=0.1062 lr=8.10e-06 train=4421s
      ai: acc=0.7820 ap=0.8874  blur: acc=0.9963 ap=0.9997  jpeg: acc=0.9994 ap=1.0000  noise: acc=0.9998 ap=1.0000
      ai AP by variant:  clean=0.9998  blur=0.8796  jpeg=0.7200  noise=0.7422
  epoch 13 step 200  loss=0.1061  (73s)
  epoch 13 step 400  loss=0.1056  (142s)
  epoch 13 step 600  loss=0.1049  (208s)
  epoch 13 step 800  loss=0.1051  (271s)
  epoch 13 step 1000  loss=0.1051  (336s)
  epoch 13 step 1200  loss=0.1052  (398s)
  epoch 13 step 1400  loss=0.1052  (459s)
  epoch 13 step 1600  loss=0.1053  (520s)
  epoch 13 step 1800  loss=0.1054  (582s)
  epoch 13 step 2000  loss=0.1054  (646s)
  epoch 13 step 2200  loss=0.1056  (709s)
  epoch 13 step 2400  loss=0.1056  (773s)
  epoch 13 step 2600  loss=0.1057  (835s)
  epoch 13 step 2800  loss=0.1057  (894s)
  epoch 13 step 3000  loss=0.1058  (958s)
  epoch 13 step 3200  loss=0.1059  (1020s)
  epoch 13 step 3400  loss=0.1058  (1079s)
  epoch 13 step 3600  loss=0.1058  (1142s)
  epoch 13 step 3800  loss=0.1058  (1205s)
  epoch 13 step 4000  loss=0.1058  (1266s)
  epoch 13 step 4200  loss=0.1057  (1326s)
  epoch 13 step 4400  loss=0.1057  (1389s)
  epoch 13 step 4600  loss=0.1056  (1450s)
  epoch 13 step 4800  loss=0.1055  (1513s)
  epoch 13 step 5000  loss=0.1055  (1573s)
  epoch 13 step 5200  loss=0.1055  (1636s)
  epoch 13 step 5400  loss=0.1055  (1698s)
  epoch 13 step 5600  loss=0.1056  (1758s)
  epoch 13 step 5800  loss=0.1056  (1819s)
  epoch 13 step 6000  loss=0.1056  (1881s)
  epoch 13 step 6200  loss=0.1057  (1943s)
  epoch 13 step 6400  loss=0.1056  (2007s)
  epoch 13 step 6600  loss=0.1056  (2070s)
  epoch 13 step 6800  loss=0.1056  (2134s)
  epoch 13 step 7000  loss=0.1056  (2196s)
  epoch 13 step 7200  loss=0.1056  (2258s)
  epoch 13 step 7400  loss=0.1056  (2320s)
  epoch 13 step 7600  loss=0.1057  (2381s)
  epoch 13 step 7800  loss=0.1056  (2443s)
  epoch 13 step 8000  loss=0.1056  (2507s)
  epoch 13 step 8200  loss=0.1056  (2567s)
  epoch 13 step 8400  loss=0.1056  (2630s)
  epoch 13 step 8600  loss=0.1057  (2690s)
  epoch 13 step 8800  loss=0.1057  (2752s)
  epoch 13 step 9000  loss=0.1057  (2812s)
  epoch 13 step 9200  loss=0.1057  (2875s)
  epoch 13 step 9400  loss=0.1057  (2938s)
  epoch 13 step 9600  loss=0.1057  (2999s)
  epoch 13 step 9800  loss=0.1057  (3057s)
  epoch 13 step 10000  loss=0.1057  (3117s)
  epoch 13 step 10200  loss=0.1057  (3179s)
  epoch 13 step 10400  loss=0.1057  (3237s)
  epoch 13 step 10600  loss=0.1057  (3295s)
  epoch 13 step 10800  loss=0.1057  (3353s)
  epoch 13 step 11000  loss=0.1057  (3413s)
  epoch 13 step 11200  loss=0.1057  (3471s)
  epoch 13 step 11400  loss=0.1057  (3531s)
  epoch 13 step 11600  loss=0.1057  (3590s)
  epoch 13 step 11800  loss=0.1057  (3648s)
  epoch 13 step 12000  loss=0.1057  (3706s)
  epoch 13 step 12200  loss=0.1057  (3764s)
  epoch 13 step 12400  loss=0.1058  (3823s)
  epoch 13 step 12600  loss=0.1058  (3881s)
  epoch 13 step 12800  loss=0.1058  (3938s)
  epoch 13 step 13000  loss=0.1058  (3997s)
  epoch 13 step 13200  loss=0.1058  (4057s)
  epoch 13 step 13400  loss=0.1058  (4114s)
  epoch 13 step 13600  loss=0.1058  (4173s)
  epoch 13 step 13800  loss=0.1058  (4231s)
  epoch 13 step 14000  loss=0.1058  (4292s)
  epoch 13 step 14200  loss=0.1058  (4350s)
  epoch 13 step 14400  loss=0.1058  (4409s)
  epoch 13 step 14600  loss=0.1059  (4469s)
  epoch 13 step 14800  loss=0.1059  (4531s)
  epoch 13 step 15000  loss=0.1058  (4592s)
  epoch 13 step 15200  loss=0.1058  (4655s)
  epoch 13 step 15400  loss=0.1058  (4717s)
  epoch 13 step 15600  loss=0.1058  (4781s)
  epoch 13 step 15800  loss=0.1059  (4841s)
  epoch 13 step 16000  loss=0.1059  (4904s)
  epoch 13 step 16200  loss=0.1058  (4965s)
  epoch 13 step 16400  loss=0.1058  (5025s)
  epoch 13 step 16600  loss=0.1058  (5082s)
  epoch 13 step 16800  loss=0.1058  (5142s)
  epoch 13 step 17000  loss=0.1058  (5199s)
  epoch 13 step 17200  loss=0.1058  (5258s)
  epoch 13 step 17400  loss=0.1058  (5317s)
  epoch 13 step 17600  loss=0.1058  (5376s)
  epoch 13 step 17800  loss=0.1058  (5437s)
  epoch 13 step 18000  loss=0.1058  (5496s)
  epoch 13 step 18200  loss=0.1058  (5557s)
  epoch 13 step 18400  loss=0.1058  (5622s)
  epoch 13 step 18600  loss=0.1058  (5685s)
  epoch 13 step 18800  loss=0.1058  (5747s)
  epoch 13 step 19000  loss=0.1058  (5810s)
  epoch 13 step 19200  loss=0.1058  (5877s)
  epoch 13 step 19400  loss=0.1058  (5942s)
  epoch 13 step 19600  loss=0.1058  (6009s)
  epoch 13 step 19800  loss=0.1059  (6075s)
  epoch 13 step 20000  loss=0.1059  (6140s)
  epoch 13 step 20200  loss=0.1059  (6209s)
  epoch 13 step 20400  loss=0.1059  (6282s)
  epoch 13 step 20600  loss=0.1059  (6350s)
  epoch 13 step 20800  loss=0.1059  (6417s)
  epoch 13 step 21000  loss=0.1059  (6488s)
  epoch 13 step 21200  loss=0.1059  (6556s)
  epoch 13 step 21400  loss=0.1059  (6623s)
  epoch 13 step 21600  loss=0.1059  (6692s)
  epoch 13 step 21800  loss=0.1059  (6759s)
  epoch 13 step 22000  loss=0.1059  (6828s)
  epoch 13 step 22200  loss=0.1059  (6897s)
  epoch 13 step 22400  loss=0.1059  (6965s)
[epoch 13] loss=0.1059 lr=7.29e-06 train=6999s
      ai: acc=0.7804 ap=0.8877  blur: acc=0.9959 ap=0.9997  jpeg: acc=0.9995 ap=1.0000  noise: acc=0.9996 ap=1.0000
      ai AP by variant:  clean=0.9998  blur=0.8809  jpeg=0.7225  noise=0.7446
  epoch 14 step 200  loss=0.1050  (63s)
  epoch 14 step 400  loss=0.1049  (119s)
  epoch 14 step 600  loss=0.1055  (175s)
  epoch 14 step 800  loss=0.1058  (233s)
  epoch 14 step 1000  loss=0.1058  (290s)
  epoch 14 step 1200  loss=0.1059  (346s)
  epoch 14 step 1400  loss=0.1060  (409s)
  epoch 14 step 1600  loss=0.1062  (467s)
